log2_arg,log2_erf
-1.875,-1.73613851690605976932669005623246352085919019365935781739196
-1.75,-1.61775577477918075833491716808413101369703414900259600484810
-1.625,-1.50059262290984171269125481733254471485111997131694469012467
-1.5,-1.38486653429098968459727496187063106217972829103764562207374
-1.375,-1.27083073552977930021026161084790894466026261033533729425508
-1.25,-1.15877881254545047235844802703946057424867401117661624135774
-1.125,-1.04904934593480323863290333086068793328219862397442168597926
-1.0,-0.942030270034202158356798764322324541985242669651972245963942
-0.875,-0.838162489033895923835654752186653019690903752431093025380254
-0.75,-0.737942068446036550045737529712602022192844904529113627181549
-0.625,-0.641920043491088636540207836218328408103879944650810075254447
-0.5,-0.550698548602282423022275491806679484200504554960238742686087
-0.375,-0.464921594073173371925283200262958999252782343842885189960709
-0.25,-0.385258453008042848289199597986052624814676623872900817109022
-0.2451124978365315,-0.382277120212349379538245773636066846476180867956815644017716
-0.24511249783653147,-0.382277120212349362637120744183619244834182020352314160963995
-0.24511249783653144,-0.382277120212349345735995714731171978998420303571778913080834
-0.125,-0.312377393289731981703881357938340554402548080427699695775380
-5e-324,-0.246907612179546337260543115906687182882881025796555963855185
0.0,-0.246907612179546337260543115906687182882881025796555963855185
5e-324,-0.246907612179546337260543115906687182882881025796555963855185
0.125,-0.189388052594311854731797146673671712455559989175001239131520
0.25,-0.140203775511258093380502984029161525202543004870280335214311
0.3219280948873623,-0.115753559979379084909676326618474990494432103571568309535048
0.32192809488736235,-0.115753559979379067126658159795324478069821560259995116060128
0.3219280948873624,-0.115753559979379049343639992972175638862186656113677226574555
0.375,-0.0995142298110381971423359443726598441856740515043257815965927
0.5,-0.0671832961287834886800703323288803275220696269268617387241138
0.625,-0.0427276421747069211107909818496307520128263969250959783178933
0.75,-0.0253051819124568929650691899646473752133795225091738643573470
0.875,-0.0137645749642657593563374527158178823989429732451758598038387
1.0,-0.00676437840783129854192646504814953008215589071179481851364941
1.125,-0.00294535682857390987448147685603635455596291813231338168165515
1.25,-0.00111039285022009673116759380088073262506795569584459431272360
1.375,-0.000352695088168342900754938043852321914404208673892435627724524
1.5,-0.0000913867814262859617615086263307250388753784559746530203054158
1.514573172829758,-0.0000769154575468913321170400551014785214247051127704301363695543
1.5145731728297582,-0.0000769154575468911281362274625494231358200339464770077969395553
1.5145731728297585,-0.0000769154575468909241554148699978489494092970451908846451500961
1.625,-0.0000185907813580902194917375733675542466570559253944284613846826
1.75,-0.00000283718006319227416400504815808991351635073971941702080907577
1.875,-3.07724289388366008315486246465259387204522538840172162988916e-7
2.0,-2.22424016882985979399282793870258672581489919327616154400160e-8
2.125,-9.92449510048078702442689490251321875135750350541316959011585e-10
2.25,-2.49576168147457515801091419317916726369795078312462652721560e-11
2.375,-3.17420130698244995067391196643208466225871154854373136206913e-13
2.5,-1.79498979401353329187680849879965364612268933076834286892237e-15
2.625,-3.87214096793042825368715556312898475501522799668992563362810e-18
2.75,-2.65564451843287231545781114326275376210200656333542610437073e-21
2.875,-4.66236303712173160317730591577786189155463136263978884842173e-25
3.0,-1.61932378689264803630666288056230977020358348652895916199987e-29
