family,d,rank,collision_l2_sq,max_width,target_bits,search_cap,hit_cap,max_rop_log2,next_rop_log2,max_beta,next_beta
q32,32,11,32768,6400000000000,128.00000000000000000,6400000000000,true,791.290000000000,,2986,
q32,32,12,32768,6400000000000,128.00000000000000000,6400000000000,true,inf,,3276,
q32,32,13,32768,6400000000000,128.00000000000000000,6400000000000,true,inf,,3549,
q32,32,14,32768,6400000000000,128.00000000000000000,6400000000000,true,inf,,3822,
q32,32,15,32768,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,16,32768,6400000000000,128.00000000000000000,6400000000000,true,inf,,4369,
q32,32,17,32768,6400000000000,128.00000000000000000,6400000000000,true,inf,,4642,
q32,32,18,32768,6400000000000,128.00000000000000000,6400000000000,true,inf,,4915,
q32,32,19,32768,6400000000000,128.00000000000000000,6400000000000,true,inf,,5188,
q32,32,20,32768,6400000000000,128.00000000000000000,6400000000000,true,inf,,5461,
q32,32,1,65536,5,128.00000000000000000,6400000000000,false,inf,24.115000000000,160,91
q32,32,2,65536,11,128.00000000000000000,6400000000000,false,inf,79.765000000000,352,301
q32,32,3,65536,20,128.00000000000000000,6400000000000,false,128.790000000000,125.080000000000,486,472
q32,32,4,65536,6400000000000,128.00000000000000000,6400000000000,true,181.260000000000,,684,
q32,32,5,65536,6400000000000,128.00000000000000000,6400000000000,true,244.860000000000,,924,
q32,32,6,65536,6400000000000,128.00000000000000000,6400000000000,true,311.110000000000,,1174,
q32,32,7,65536,6400000000000,128.00000000000000000,6400000000000,true,380.010000000000,,1434,
q32,32,8,65536,6400000000000,128.00000000000000000,6400000000000,true,451.030000000000,,1702,
q32,32,9,65536,6400000000000,128.00000000000000000,6400000000000,true,523.640000000000,,1976,
q32,32,10,65536,6400000000000,128.00000000000000000,6400000000000,true,598.105000000000,,2257,
q32,32,11,65536,6400000000000,128.00000000000000000,6400000000000,true,673.895000000000,,2543,
q32,32,12,65536,6400000000000,128.00000000000000000,6400000000000,true,751.010000000000,,2834,
q32,32,13,65536,6400000000000,128.00000000000000000,6400000000000,true,829.450000000000,,3130,
q32,32,14,65536,6400000000000,128.00000000000000000,6400000000000,true,908.685000000000,,3429,
q32,32,15,65536,6400000000000,128.00000000000000000,6400000000000,true,989.245000000000,,3733,
q32,32,16,65536,6400000000000,128.00000000000000000,6400000000000,true,1070.600000000000,,4040,
q32,32,17,65536,6400000000000,128.00000000000000000,6400000000000,true,1152.750000000000,,4350,
q32,32,18,65536,6400000000000,128.00000000000000000,6400000000000,true,inf,,4607,
q32,32,19,65536,6400000000000,128.00000000000000000,6400000000000,true,inf,,4863,
q32,32,20,65536,6400000000000,128.00000000000000000,6400000000000,true,inf,,5119,
q32,32,1,131072,4,128.00000000000000000,6400000000000,false,inf,27.030000000000,128,102
q32,32,2,131072,10,128.00000000000000000,6400000000000,false,inf,69.165000000000,320,261
q32,32,3,131072,16,128.00000000000000000,6400000000000,false,133.030000000000,120.310000000000,502,454
q32,32,4,131072,6400000000000,128.00000000000000000,6400000000000,true,153.435000000000,,579,
q32,32,5,131072,6400000000000,128.00000000000000000,6400000000000,true,208.290000000000,,786,
q32,32,6,131072,6400000000000,128.00000000000000000,6400000000000,true,265.530000000000,,1002,
q32,32,7,131072,6400000000000,128.00000000000000000,6400000000000,true,324.890000000000,,1226,
q32,32,8,131072,6400000000000,128.00000000000000000,6400000000000,true,386.105000000000,,1457,
q32,32,9,131072,6400000000000,128.00000000000000000,6400000000000,true,449.175000000000,,1695,
q32,32,10,131072,6400000000000,128.00000000000000000,6400000000000,true,513.305000000000,,1937,
q32,32,11,131072,6400000000000,128.00000000000000000,6400000000000,true,579.025000000000,,2185,
q32,32,12,131072,6400000000000,128.00000000000000000,6400000000000,true,645.805000000000,,2437,
q32,32,13,131072,6400000000000,128.00000000000000000,6400000000000,true,713.645000000000,,2693,
q32,32,14,131072,6400000000000,128.00000000000000000,6400000000000,true,782.280000000000,,2952,
